,tweet
84,@ShoaibkhanMo @GovtofPunjabPK @AmirMirTV @MinisterInfoPb @ICD_Punjab @cmopunjabpk @MohsinnaqviC42 @OfficialDPRPP جو بندہ جھوٹ بولے حرام کھائے اسکا روزہ رکھنے یا نہ رکھنے سے کوئی فرق نہیں پڑتا یہ صرف نام کے مسلمان ہے ان سے بہتر کافر ہے ۔ہے تو کافر مگر کام تو مسلمانوں والے ہے
85,@MuradSaeedPTI کتے کے منہ والے گشتی کے جنائے کافر کتے میں تمہیں جہنم واصل کرساں جدھر تیری گشتی ماں کتوں سے یواتے ہوئے جہنم واصل ہوئی تھی کتے
86,RT @OsmanOsyed9707: @miandawoodadv رمضان میں ایک مسلمان کو کافر کہا ہے۔۔۔۔ ڈر اللہ سے شریفوں کی غلامی میں کہی تو کافر نہ بن چکا ہو
87,@alizia89230686 @50604Akram کتا گوہ نانک کتا کتی امام بارگاہ کتی گشتی چرچ کتی گشتی چرچ کتا گردوارہ کتا مندر کتا بگوانا کتا ہر کافر شیعہ کافر وابی کافر قادیانی کتے عیسائی کتے یہودی کتے قادیانی کتے نو مڈو وڈساں
88,"RT @iAimalKhan_: میں گواہی دیتاہوں کہ مرزاغلام احمدقادیانی جھوٹامدّعی نبوّت کافر ہےاور کذاب ہے.
اسکےتمام ماننےوالےکافر ہیں اور دائرہ اسلام…"
89,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
90,"RT @MSamiUllah_786: افطاری کےلئے ان کمپنیوں کی پروڈکٹس سے اجتناب کیجئے
کیوں کہ یہ گستاخ رسول منکر ختم نبوت جھوٹےمدعی نبوت مرزا غلام قادیانی…"
91,"@amirabbasi133 مشکل اسلام اینه که اگ اسلحه نذاری بالا سر مردم همه کافر ب این دین میشن 
انقدر که این جذابه همه با زور اسلحه جذبش میشن نه اعتقاد قلبی عروقی :))))))))))"
92,@s_m_b_k_1 @Xadeejournalist یہ جو آجکل مولوی ملک کے مالک بنے ہوئے ہیں انھوں نےقائد اعظم کو کافر اعظم تک بنا دیا تھا۔ ان کے ساتھ بھی کم نہیں کیا تھا ان کنجروں نے
93,"RT @qarieisa: تا پنجاپي خوارج کافر
زما مقدس بیرغ د مقدسې کلیمې، قرآن، محراب اږ منبر سره داسې بی عزته د پښو لاندې واچولو او بیاهم ځان ته مسل…"
94,هالوقت لو تغرد شي مو عن رمضان يحسبونك كافر.
95,"@FatawaPedia بما انه لا صلاة و لا صيام في رمضان فهذا يعني أنه كافر 
فحسبكم هل يحل د.مه؟"
96,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
97,"RT @Arabiclit: سأل شابٌ رجلاً صالحاً:
""إذا كان الدجال مكتوباً على جبينه (كافر) 
فلا أعتقد أن يتبعه أحد؟!
قال له: ""علبة السجائر"" مكتوبٌ عليه…"
98,"RT @iAimalKhan_: میں گواہی دیتاہوں کہ مرزاغلام احمدقادیانی جھوٹامدّعی نبوّت کافر ہےاور کذاب ہے.
اسکےتمام ماننےوالےکافر ہیں اور دائرہ اسلام…"
99,@MoeedNj کافر کافر ہے یہ ہی ان حرامیوں کو مسلط کرتے ہیں اور یہ ہی آزادی کی بات کرتے ہیں
